Type,Qwen/Qwen3-VL-8B-Instruct,mistralai/Pixtral-Large-Instruct-2411,google/gemma-3-12b-it,Qwen/Qwen3-VL-32B-Instruct,google/gemma-3-27b-it,Qwen/Qwen2.5-VL-72B-Instruct-AWQ,mistralai/Pixtral-12B-2409
,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(détention de 3 ans, investissement de 10000 USD)",1.0,1.0,1.0,1.0,1.0,1.0,0.5
-,0.7884615384615384,0.8269230769230769,0.8461538461538461,0.8846153846153846,0.8461538461538461,0.8461538461538461,0.8269230769230769
Adresse,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888
Adresse du centralisateur des ordres de souscription et de rachat,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Agence de notation financière,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Autorité d'agrément,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Autorité d'agrément de l'Initiateur du PRIIP,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Autorité d'agrément de l'OPCVM,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Autorité d'agrément de la société de gestion,0.875,0.875,0.875,0.875,0.875,0.875,0.875
Autorité d'agrément de régulation de la société de gestion,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Autorité d'agrément des compartiments,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Autorité d'agrément du Fonds,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Autorité de contrôle du dépositaire et conservateur,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Autorité d’agrément,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Capitalisation ,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Centralisateur,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Code Bloomberg Indice,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Code juridique et financier,0.5,1.0,0.5,1.0,1.0,1.0,1.0
Commissaire aux comptes,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Commission de performance,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Commission de performance en %,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Commission de rachat,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Commission de surperformance,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Commissions liées aux résultats,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Complement de prospectus,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Couverture,1.0,0.5,1.0,0.5,1.0,0.5,0.5
Date d'agrément,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Date d'agrément du fonds,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Date d'autorisation de commercialisation en France du compartiment Global Corporate Bond Fund,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Date d'autorisation de commercialisation en France du compartiment US Government Mortgage Fund,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Date de clôture de l'exercice comptable,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Date de création du Fonds,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Date de création du KIID (Part I),1.0,1.0,1.0,1.0,1.0,1.0,1.0
