Domain,mistralai/Pixtral-12B-2409,google/gemma-3-12b-it,mistralai/Pixtral-Large-Instruct-2411,Qwen/Qwen3-VL-8B-Instruct,Qwen/Qwen3-VL-32B-Instruct,Qwen/Qwen2.5-VL-72B-Instruct-AWQ,google/gemma-3-27b-it
Benchmark,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0
Commission de surperformance,1.0,0.0,0.0,1.0,0.0,0.0,1.0
Courbe d’évolution comparative - Performance,0.25,0.0,0.5,0.5,0.5,0.25,0.5
Cristallisation,0.5,0.5,0.75,0.5,0.75,0.5,0.25
Date,0.2727272727272727,0.3181818181818182,0.5,0.5,0.5,0.2727272727272727,0.3181818181818182
Devise,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0
Dénomination,0.0,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0
Fonds,0.0,0.0,0.5,0.25,0.5,0.25,0.25
Frais d'entrée,1.0,1.0,0.0,1.0,0.0,1.0,1.0
Modèle de commission de surperformance,0.8,0.8,0.4,1.0,1.0,1.0,1.0
Performance,0.2857142857142857,0.5714285714285714,0.42857142857142855,0.3333333333333333,0.42857142857142855,0.5238095238095238,0.47619047619047616
Performances passées,0.40625,0.40625,0.4375,0.46875,0.78125,0.625,0.5
Section réglementaire relative à l’ESG,0.46153846153846156,0.7692307692307693,0.6153846153846154,0.5384615384615384,0.7692307692307693,0.6923076923076923,0.6923076923076923
Sous-performance compensée - Exemple performance,0.0,1.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0
Traitement des performances non compensées,0.0,0.25,0.25,0.0,0.25,0.0,0.0
Type de fonds,0.5,0.5,0.0,0.0,0.5,0.5,0.5
VNI,0.6666666666666666,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666
Average,0.34375,0.4609375,0.4609375,0.453125,0.6171875,0.5,0.484375
