Domain,google/gemma-3-27b-it,mistralai/Pixtral-12B-2409,mistralai/Pixtral-Large-Instruct-2411,Qwen/Qwen3-VL-32B-Instruct,Qwen/Qwen3-VL-8B-Instruct,Qwen/Qwen2.5-VL-72B-Instruct-AWQ,google/gemma-3-12b-it
,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Acteur,1.0,0.5,0.75,1.0,0.75,0.75,0.75
Affectation du résultat,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Calendrier de traitement des ordres de souscription et de rachat,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Canaux de diffusion informations,0.8,0.8,0.8,0.8,1.0,0.8,0.6
Catégories d'actions,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Commission de gestion,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,0.3333333333333333
Commission de mouvement,1.0,1.0,0.5,0.5,1.0,1.0,1.0
Commission de performance,1.0,0.25,0.75,1.0,1.0,0.75,0.75
Commission de surperformance,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Commissions,1.0,0.5,1.0,1.0,1.0,1.0,1.0
Conditions réglementaires,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Coût ponctuels,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Date de calcul VNI,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Date de paiment après opération,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Description d'un compartiment,0.9166666666666666,0.4166666666666667,0.8333333333333334,1.0,0.9166666666666666,1.0,0.9166666666666666
Devise,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0
Effet de levier,0.0,0.5,0.5,1.0,0.0,0.5,0.5
Exposition,1.0,0.5,0.5,0.5,1.0,0.5,1.0
Fonctionnement du fonds,1.0,0.3333333333333333,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0
Frais,0.6666666666666666,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
Frais courants,0.8333333333333334,0.5,0.5,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.8333333333333334
Frais d'entrée,1.0,1.0,0.5,1.0,1.0,0.5,1.0
Frais de gestion annuels,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Frais de performance,0.5,0.0,1.0,0.5,0.5,1.0,1.0
Frais de performance / Commission de surperformance,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Frais de sortie,1.0,0.6,0.6,0.8,1.0,1.0,1.0
Frais d’entrée et de sortie,1.0,0.3333333333333333,0.6666666666666666,1.0,1.0,1.0,1.0
Frais et commissions,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Frais indirects,1.0,0.0,0.0,0.5,0.5,1.0,1.0
ISRR,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Instruments financier,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Instruments financiers,0.6,0.4,0.6,0.8,0.2,0.4,0.4
Modalités de souscription,1.0,0.0,0.0,1.0,1.0,0.5,1.0
Montant minimal pour une souscription initiale,1.0,0.6666666666666666,0.3333333333333333,0.8333333333333334,0.6666666666666666,0.8333333333333334,1.0
Méthode de calcul de la commission de surperformance,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Méthode de calcul du risque global,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Politique de décote selon la catégorie d’actifs,1.0,0.5,1.0,1.0,1.0,1.0,1.0
Principales Incidences Négatives,1.0,1.0,1.0,1.0,0.0,1.0,1.0
Prise en charge des frais,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Période de référence,0.5,0.5,1.0,1.0,1.0,1.0,0.0
Risque de change,0.0,1.0,0.0,0.0,1.0,1.0,1.0
Risques,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,0.6666666666666666
Règles d'investissement,0.8,0.4,0.8,1.0,0.6,1.0,1.0
Référencement / Identification des parts,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Référencement / Identification des parts (Code AMF),1.0,0.0,1.0,1.0,1.0,1.0,1.0
Souscription ultérieure,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Taux de provisionnement,1.0,1.0,1.0,1.0,1.0,1.0,1.0
parts,1.0,1.0,0.0,1.0,1.0,1.0,1.0
éléments de fonctionnement des ordres de souscription et de rachat,1.0,0.0,0.8,0.6,0.8,1.0,1.0
Average,0.85,0.5166666666666667,0.7166666666666667,0.8583333333333333,0.8,0.8833333333333333,0.8583333333333333
